name,ra,dec,v_mag,parallax,period,sp_type,dist_ref,M_calc,dist_pl,abs_error,rel_error
4658077094094581504,80.93144163080201,-69.53525639192891,16.417404,0.0360517513083853,25.014335341150176,CEP,27737.903533341203,-5.309,221452.77,193714.86,698.38
5256178232392037120,149.28245432608742,-61.24901602130872,15.054192,0.1059857837781066,2.844791330353688,CEP,9435.227672549125,-2.703,35601.99,26166.76,277.33
6734274043115986176,277.6851189459563,-35.342556620869715,13.2189245,0.0899382997833435,8.592702804366464,CEP,11118.733647499956,-4.028,28146.51,17027.78,153.14
2162275240493961984,314.820522771304,44.56273485767527,13.790371,0.11445771926701,3.950541306447907,CEP,8736.850658950956,-3.097,23846.72,15109.87,172.94
3344381567567275392,93.0915100210619,13.636593708489904,12.921536,0.2903417469786584,3.5632219487315777,CEP,3444.2170662888,-2.973,15098.18,11653.96,338.36
5865424046292741248,206.27002917348483,-62.75552879586282,17.901812,0.2438626024661217,11.580721034108542,CEP,4100.669761936636,-4.386,286777.09,282676.42,6893.42
4312219187494119680,286.65511372756373,9.85926499044676,18.550125,0.1004112487665572,3.213302646531936,CEP,9959.04355621417,-2.849,190485.67,180526.62,1812.69
4650810494740144384,86.59940797510899,-71.7328118395515,16.075846,0.0057946461670727,3.215881318056409,CEP,172573.090947701,-2.85,60981.6,-111591.49,-64.66
4650826983115655168,85.66795347649027,-72.69732743407671,16.301098,0.0329600302289877,2.7094194777333542,CEP,30339.77799936959,-2.645,61541.39,31201.61,102.84
4663664026198869376,79.16406453449386,-64.97748856111305,16.181995,0.0063982150343877,2.682775859019752,CEP,156293.59041942298,-2.633,57939.88,-98353.71,-62.93
4105982485837162496,281.8751142278564,-11.941506334917603,16.202007,0.1323609193363083,1.3038081764805838,CEP,7555.100138426484,-1.768,39264.44,31709.34,419.71
4766643426242068992,85.6662785315102,-56.41829062486172,9.934804,0.2462085597813289,109.36362675060086,CEP,4061.597212087808,-7.077,25259.14,21197.55,521.9
5334575782303770624,179.2969706158815,-62.62490515693361,15.628994,0.0371287349524308,8.635740336385263,CEP,26933.317315583045,-4.034,85632.02,58698.7,217.94
5322878146768508800,129.7319389478128,-49.770157562566645,14.617319,0.021665179940032,3.1846513356361497,CEP,46157.01336282179,-2.838,30985.18,-15171.84,-32.87
4654983343231845888,70.75671704280472,-70.16709854251661,16.181015,0.0216491477669585,2.577303128382637,CEP,46191.194718815765,-2.585,56645.62,10454.43,22.63
4054575949223340288,263.9615687055384,-32.51577357089708,11.514985,0.3437166556787083,49.96774399064049,CEP,2909.3731231190536,-6.138,33937.02,31027.65,1066.47
2062437424336336256,303.4103498854667,40.5875127184496,17.327291,0.0866774583073848,3.3551944953125306,CEP,11537.024960442355,-2.901,111084.73,99547.71,862.85
4396509638666473856,237.9441242146468,-6.906221118628427,15.181331,0.0620481531758692,1.179891320417766,CEP,16116.515138905115,-1.648,23223.25,7106.73,44.1
4661248811512209408,75.90822561843721,-69.06303815113603,14.336273,0.0137129427290124,12.194567217223488,CEP,72923.80780416333,-4.448,57123.98,-15799.83,-21.67
4661266334984220672,76.85889743286573,-68.88886894652894,15.792214,0.0703285851385055,4.204185078781574,CEP,14218.969399577623,-3.171,62046.2,47827.23,336.36
4173830973235419392,271.4901430903262,-5.078043197604566,18.760698,0.1007618571556664,8.812562644170399,CEP,9924.390322174251,-4.058,366299.25,356374.85,3590.9
2034288586671365120,299.2247702937418,33.0631211913559,16.12898,0.0416666804374517,2.8169026607887213,CEP,23999.992068030435,-2.691,58085.81,34085.82,142.02
4068692647733304064,267.9005308306579,-23.10031556736105,15.550741,0.049472558512884,13.796340449786872,CEP,20213.225878333586,-4.596,106978.84,86765.61,429.25
3027837358256113792,110.66765110063416,-17.33000471563636,13.283378,0.1813193392342126,4.96044243894171,CEP,5515.131503475681,-3.37,21409.32,15894.19,288.19
5943144438769524992,250.85262560072303,-45.8218289681008,14.663298,0.1835812485041064,7.494234408910116,CEP,5447.1794268118365,-3.864,50758.53,45311.35,831.83
5809152454237870208,249.2778942990685,-68.94635827120102,17.307741,0.0219439227404266,16.02146252879749,CEP,45570.7036444185,-4.775,260941.88,215371.18,472.61
5544213926244557184,120.2015948557314,-37.82794381721476,10.640595,0.3274460779018481,5.884906729518966,CEP,3053.9379381412223,-3.574,6966.51,3912.57,128.12
5253795384552296448,158.01836868113614,-61.78261610280676,8.865255,0.4415188061328064,5.543921254935856,CEP,2264.9091864485736,-3.503,2976.03,711.13,31.4
5862529345743227776,198.5006296438438,-62.49845370747415,11.804539,0.223261289644831,6.379236974370734,CEP,4479.056810926883,-3.671,12449.16,7970.11,177.94
2013029941628292352,359.3956496583565,62.71824065723669,9.469182,0.3221246398226651,9.810775680059352,CEP,3104.3884148400334,-4.187,5385.88,2281.49,73.49
5255309098485373824,157.71506327294983,-59.060223281012256,12.190022,0.1997310448573097,5.86526130379293,CEP,5006.732932851835,-3.57,14193.81,9187.08,183.49
447992443624241280,48.73901045893063,56.334767939414576,13.804615,0.1753135967803665,4.989199443295339,CEP,5704.064136296303,-3.377,27304.61,21600.55,378.69
4657229203122115968,84.23661661343608,-70.16117344643038,15.282843,0.0543344730288786,4.975730782433922,CEP,18404.521922362288,-3.373,53855.94,35451.42,192.62
4657235624082613376,83.9342405445851,-70.17232309001899,15.724775,0.0093377255742384,4.005085818290668,CEP,107092.45972690248,-3.113,58559.41,-48533.04,-45.32
4657282907448237440,83.8959259938461,-69.57502292003333,15.338247,0.0171171066263964,6.136343869396545,CEP,58421.08843663406,-3.625,62026.25,3605.16,6.17
