Star,RA,Dec,Period,Method,Gaia_Dist,Calc_Dist,Dust_Av,Status
V* V367 UMa,215.56395101763,60.48428843768,0.6067,RR_Lyrae(K),,3109.4,0.00,No Gaia Ref
V* HV Pav,304.7713071311,-56.82576577254,0.5606,RR_Lyrae(K),,3087.9,0.00,No Gaia Ref
NSV 10663,275.72138294276,-62.19680488188,0.6165,RR_Lyrae(K),,3065.6,0.00,No Gaia Ref
SV* SON  4791,7.179572349829998,-44.00628943982,0.5992,RR_Lyrae(K),,2655.4,0.00,No Gaia Ref
OGLE GD-RRLYR-6927,250.24419746329,-37.98039029183,0.5388,RR_Lyrae(V),,2727.7,0.00,No Gaia Ref
CRTS J150930.5-162932,227.3776374469179,-16.49231426642611,500.0000,Cepheid(IR),,483743.9,0.00,No Gaia Ref
DJM 125,107.15152601866,-19.71941029206,57.1964,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
DJM 242,159.88702391842,-61.70685474690001,15.8607,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
NIKC 3-81,74.93573857878,43.472054287480006,14.2599,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
ROTSE1 J123854.21+245307.9,189.7258767071,24.88566624697,0.6291,RR_Lyrae(K),,2857.6,0.00,No Gaia Ref
ATO J106.1517+08.6631,106.15178382579084,8.663106764231944,500.0000,Cepheid(IR),,547971.0,0.00,No Gaia Ref
CRTS J232140.1-184741,350.41721826355,-18.79506670824,0.5296,RR_Lyrae(V),,2716.4,0.00,No Gaia Ref
CRTS J221134.8-422226,332.89439068054,-42.37307497140999,2.4894,None,,0,0.00,Processing
ATO J030.5481-05.1252,30.548101116881668,-5.125167290329165,500.0000,Cepheid(IR),,502631.3,0.00,No Gaia Ref
ATO J018.6337+55.2018,18.633749026527088,55.20190927024667,13.5028,Cepheid(IR),,31814.4,0.00,No Gaia Ref
ATO J064.1190+12.5368,64.11904972665,12.536998713930831,0.5939,RR_Lyrae(K),,1459.9,0.00,No Gaia Ref
ATO J074.6952+09.7255,74.69520904749,9.72559522221,0.7648,RR_Lyrae(K),,3027.8,0.00,No Gaia Ref
V* BH Com,200.49471828944,16.70499032508,0.5848,RR_Lyrae(K),,2754.4,0.00,No Gaia Ref
CRTS J145738.7-024231,224.41141365563,-2.70893873393,11.9967,Cepheid(IR),,35800.6,0.00,No Gaia Ref
SOPS   IV e-4,234.45035620276,-22.6828780531,8.4792,Cepheid(IR),,8857.0,0.00,No Gaia Ref
CRTS J060031.9-213615,90.13216056534,-21.60439332047,0.5840,RR_Lyrae(V),,2704.0,0.00,No Gaia Ref
Case  407,103.38149963488,1.46207830167,500.0000,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
[MVD2012] 1117,109.13241799297,-2.20551170162,23.2795,None,,0,0.00,Processing
OGLE LMC-RRLYR-40957,100.86223639614,-64.91098514963,25.7856,Cepheid(IR),,73629.6,0.00,No Gaia Ref
2MASS J07411170-3112564,115.29878134438002,-31.21569414254,13.2066,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
CRTS J085434.0-012345,133.64213001342,-1.39608649782,11.1958,None,,0,0.00,Processing
UCAC4 106-017734,103.94921366916,-68.82992836195,0.5276,RR_Lyrae(K),,2455.7,0.00,No Gaia Ref
V* CU Com,186.19420600866,22.40784499548,0.5445,RR_Lyrae(K),,3386.7,0.00,No Gaia Ref
V* AN Cnc,134.54298610311,15.80521074255,0.5434,RR_Lyrae(K),,2827.3,0.00,No Gaia Ref
CRTS J093250.8+443956,143.21183994684,44.665856413,18.7762,Cepheid(IR),,53977.6,0.00,No Gaia Ref
2MASS J05182573+5849240,79.60722921742,58.8233479197,2.9548,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
