name,ra,dec,sp_type,v_mag,parallax,plx_error,snr,reliable
LEE 133,294.46905499991,6.7288842539000004,"C4,4",10.19,0.5335,0.0334,15.97,True
HD  10386,24.926032338729996,-59.2600140737,C,10.19,1.2896,0.0116,111.17,True
V* V4424 Sgr,298.5079553839,-30.25289938692,F5,10.19,1.755,0.0145,121.03,True
CD-35  5709,142.11751891379,-35.82882427598,C,10.19,1.1269,0.0115,97.99,True
CD-44  3099,105.78412146226002,-44.73060639355,C,10.19,0.9069,0.0125,72.55,True
CGCS 6441,167.05496996706,-53.626075611139996,C,10.194,0.7848,0.0118,66.51,True
[W71b] 007-11,116.75286403850002,-20.580626085729996,C,10.2,0.2886,0.0244,11.83,True
V* SS Pic,86.87050034344,-45.24595345133999,,10.2,1.5287,0.0129,118.5,True
V* V1349 Cen,216.61702134724,-60.036375506519995,C,10.2,0.4028,0.0242,16.64,True
V* TT Tau,72.88026885697,28.526907402429995,C-N5+,10.2,1.4586,0.0264,55.25,True
HD 286436,59.61337881079001,11.90578568228,"C4,3",10.2,1.456,0.0197,73.91,True
V* TT Cyg,295.23756602515994,32.61826574900001,C-N5-,10.2,1.4392,0.0186,77.38,True
V* AO Lac,340.67451275343,51.521977531580006,C,10.2,0.4076,0.018,22.64,True
Case   83,72.43362892633,45.791393368840005,N,10.2,0.4131,0.0385,10.73,True
C* 3223,20.90933196937,49.8539783421,N,10.2,0.4786,0.0232,20.63,True
V* TZ Car,161.51253583741,-65.61464196325,C-R4III:,10.2,1.033,0.0181,57.07,True
V* DS Cyg,312.5884739987,45.41646617874,"C3,2",10.2,0.6384,0.0235,27.17,True
BD+16  4821,342.59701847475,17.21687324558,G0,10.2,5.079,0.0221,229.82,True
V* SS For,31.966575754529998,-26.866032452459997,kF5hF8,10.2,1.2649,0.0205,61.7,True
V* V429 Ori,74.05007966961,-3.52320221665,G4,10.21,0.8205,0.0166,49.43,True
HD 189605,300.27159428934,-7.364423049869999,"C5,5",10.21,0.3427,0.0227,15.1,True
C* 1047,121.90431996968998,-19.78448997212,C,10.21,0.3212,0.0227,14.15,True
SOPS   IV e-91,159.35506693475,-47.80342131315,Ce,10.21,0.2794,0.0334,8.37,True
C* 3263,86.47901890355,66.03920598779,C,10.22,0.4144,0.0372,11.14,True
MSB 69,300.41737944173,40.02901946889,"C6,3",10.22,0.526,0.0185,28.43,True
V* V1057 Cas,12.970924063449997,65.18058847706,F4II,10.22,2.1907,0.0122,179.57,True
V* FF Gem,101.95931211074,17.10798461964,"C7,3e",10.22,0.3776,0.0232,16.28,True
HD 317084,271.86963738745,-28.506564402209996,"C7,4",10.23,0.4518,0.0394,11.47,True
V* IK Hya,181.19696920886997,-27.67868673227,B7IIkA3mA3,10.23,1.2721,0.0231,55.07,True
LEE  99,130.45849746686,7.438697533759998,"C3,4J",10.23,0.7745,0.0155,49.97,True
[W71b] 051-02,145.01453711836,-57.44784290698001,C,10.24,0.4457,0.0197,22.62,True
LEE 195,106.24244786227,25.27217734397,"C6-,3",10.24,0.3369,0.0276,12.21,True
V* V Ind,317.8745914337454,-45.0745531568764,F0V,10.246,1.4798,0.0191,77.48,True
BD-12  4252,231.39751987451996,-13.375487889429998,C,10.25,0.9443,0.0222,42.54,True
SOPS   IV e-88,189.87899620517996,-45.38252765512001,C,10.25,0.4333,0.0289,14.99,True
CD-29  1512,59.73580612071999,-29.45277570814,N,10.25,0.9066,0.0325,27.9,True
V* OW Dra,195.87955460393,71.11222312241,,10.25,1.1882,0.016,74.26,True
V* V768 Mon,118.93365661358003,-3.1982241448300006,"C6-,4",10.25,0.3089,0.0256,12.07,True
BD-08  2200,120.91661031393,-8.452255071569999,C,10.27,0.3017,0.0216,13.97,True
V* WZ Hya,153.35053291387,-13.138165847770003,kA8.5hF6,10.27,1.0008,0.0157,63.75,True
CD-38  3714,117.64305957787002,-38.79427934566,C,10.28,0.663,0.0205,32.34,True
BM   IV 138,164.69605936565,-62.65058906805,C,10.28,0.6423,0.0241,26.65,True
BD-02  2120,111.89308079118,-3.14448109644,"C4,2",10.29,0.2496,0.019,13.14,True
BD+48  3827,341.24377098187,49.48122760099001,"C5,4",10.29,0.3806,0.017,22.39,True
V* V584 Pup,117.88070342101,-46.26511787257,C,10.3,0.3927,0.0203,19.34,True
[W71b] 095-04,218.07945954989998,-59.31390334169999,C,10.3,0.5729,0.0351,16.32,True
CD-25  5877,124.65514133703,-25.909852820599998,"C9,1",10.3,0.3117,0.0221,14.1,True
V* X Vel,148.85879845004,-41.58688332653,C-N3,10.3,1.5801,0.0331,47.74,True
BM   IV  23,114.58200803595,-27.00538449567,"C6,3",10.3,0.3189,0.0197,16.19,True
WRAY 18-102,131.21247030034,-32.93471418595999,C,10.3,0.2447,0.0203,12.05,True
CD-37  4167,120.52082298972,-38.19782246423,C-J4,10.3,0.412,0.0211,19.53,True
HD 160591,265.59591641945,-35.2499314069,"C2,4",10.3,0.5916,0.0314,18.84,True
[W71b] 075-05,181.60792621285,-59.16525221313001,C,10.3,0.3868,0.0307,12.6,True
BD-14  2468,124.67055289309,-15.081323732080003,C,10.31,0.3503,0.0203,17.26,True
CGCS 4167,287.26856011191,-63.10647376487001,C,10.31,1.2719,0.015,84.79,True
TYC 3658-1671-1,7.871467426489999,54.828445849679994,C-R,10.32,0.633,0.0202,31.34,True
HD 178316,287.20817583653,-17.26541561639,R2,10.32,1.4124,0.0177,79.8,True
MSB 53,108.67558527393,-17.428037770989995,"C5,4",10.33,0.5066,0.0277,18.29,True
C* 2940,313.67813276456,8.091631097789998,"C3,2",10.33,1.047,0.0151,69.34,True
V* BB CMi,117.85231462521,4.910877373430001,A6,10.33,1.9221,0.0172,111.75,True
SV* HV  8091,114.69718168225,-35.40035438066,C,10.33,0.5424,0.0196,27.67,True
CD-37  9874,225.42732449450997,-37.8798484317,R,10.33,0.5658,0.0179,31.61,True
V* R Cap,302.82644189934,-14.2676035439,Ce,10.33,0.5515,0.0362,15.23,True
LEE 314,293.13595658868996,52.53445429826999,R,10.34,0.7694,0.0174,44.22,True
2MASS J05023820+4158083,75.65917845761,41.96900979493,G8,10.34,1.4024,0.015,93.49,True
CD-41  2615,102.70447309013001,-41.8966987029,C,10.34,0.4395,0.0137,32.08,True
BD+16  2118,156.12652783155,15.762497352400004,K0,10.345,1.1304,0.0202,55.96,True
HD 201552,317.74000523116,-21.67855946218,A1/2III,10.35,1.3672,0.0231,59.19,True
WRAY 18-258,195.94357331677998,-60.53639690403,C,10.36,0.3119,0.0211,14.78,True
HD 289805,108.05032757359,0.7974357827600002,"C2,3J",10.36,0.696,0.0174,40.0,True
LEE 175,77.79930498932,29.63922131905,"C6,3J",10.36,0.3764,0.0258,14.59,True
V* BH Peg,343.25432080199994,15.78794710616,kA9.5hF6.5,10.36,1.1511,0.0226,50.93,True
DO 22309,353.60717606802,28.01861778156,R,10.36,0.6176,0.0223,27.7,True
CD-59  1560,109.67498336656001,-59.79541391446999,,10.36,1.5946,0.015,106.31,True
TYC 2045-988-1,249.9260989618,22.534417892939995,F7,10.37,5.2163,0.0134,389.28,True
CD-32 14668,283.8879236015,-32.67038314358,C,10.37,0.918,0.019,48.32,True
CD-42 14707,302.31780100578,-42.12978546084,,10.37,1.275,0.0217,58.76,True
V* EU And,349.99534099452,47.24293759494,C-J5-,10.38,0.5115,0.0253,20.22,True
V* GR Pup,117.54677027682,-13.558455035659998,"C4,5",10.38,0.3173,0.0225,14.1,True
HD 276118,63.653911766019995,42.38011318326,K5,10.38,4.2109,0.0177,237.9,True
HD 312502,270.61785772335,-19.173610030620004,"C5,3",10.38,0.9444,0.0393,24.03,True
BM   IV 101,140.22775971798,-47.02800852194,C,10.38,0.7755,0.0229,33.86,True
C*  196,64.35503590973,33.239758277149996,C,10.38,0.3861,0.0256,15.08,True
V* IQ Hya,138.38269489118,-23.392072785480003,"C5,2e",10.38,0.7539,0.0267,28.24,True
HD 309264,178.68280427645,-61.536565032869994,C,10.39,0.4296,0.0157,27.36,True
WRAY 18-220,165.37309981653,-68.19362137651999,C,10.39,0.2453,0.0191,12.84,True
V* FR Cas,5.61175975734,59.192643708220004,"C6,4",10.39,0.4477,0.0233,19.21,True
MSB 70,305.9810353991,56.2478172384,"C4,4",10.39,0.5231,0.0165,31.7,True
BD+33  1194,89.28603271003,33.86008826763,"C2,3",10.4,1.2667,0.0165,76.77,True
Case   67,62.71538219327999,52.6922816225,N,10.4,0.3898,0.0232,16.8,True
V* HY Com,184.56673502559997,16.15441305337,A5,10.4,0.9616,0.0189,50.88,True
Case   36,13.234501693220002,60.19566166804,"C5:,4",10.4,0.1749,0.0181,9.66,True
V* DR Ser,281.83759660947,5.4551684086,"C5,4",10.4,0.907,0.0321,28.26,True
V* UV Aqr,340.99754391157995,1.7447549534600002,C,10.4,0.2093,0.0384,5.45,True
BD+34  2469,208.55357135247996,34.20907199543001,,10.41,2.1267,0.0305,69.73,True
BM   IV 166,182.89437644914997,-63.760712457800004,C,10.41,0.3862,0.0214,18.05,True
HD 297201,153.05262714038,-46.17953377685,F5,10.41,1.4744,0.0121,121.85,True
V* UV Aur,80.45380404776,32.51116046232999,"C8,1Je",10.41,0.9927,0.0276,35.97,True
BM   IV 154,174.96506936156,-58.582820996,C,10.41,0.5402,0.0266,20.31,True
CD-28  1082,49.11013956747,-28.180007865690005,C,10.41,1.1776,0.0394,29.89,True
MSB 37,300.63245472413,30.777641848909997,"C5,5",10.41,0.4253,0.0285,14.92,True
V* AT Per,67.79298749261,45.24063008407,"C4,4J",10.42,0.7325,0.0339,21.61,True
V* V753 Cen,177.81378744645,-55.80439181583,A5,10.42,1.4203,0.0135,105.21,True
C* 1937,179.35050136627,-57.03413947787,C,10.43,0.4648,0.024,19.37,True
HD  52225,106.40191435056,68.18270570743,"C4:,4J",10.43,0.3672,0.0172,21.35,True
C* 2180,220.36997619716996,-61.780090347569995,N,10.43,0.5735,0.0247,23.22,True
V* DE Lac,332.53235664688,40.91960488002,F6.5,10.43,1.3067,0.02,65.34,True
HD 156837,260.5687637841,-49.45991101637,"C2,4",10.43,0.7917,0.0178,44.48,True
